Chassis Heave,Chassis Angle,Front Ride Height,Rear Ride Height
-0.1429,-1.8131,6.450665790239224,4.097848638149892
-0.1429,-1.73822,6.38581851628061,4.157802867608806
-0.1429,-1.66335,6.3209773310626876,4.2177514677523416
-0.1429,-1.58847,6.256125024330476,4.277710350237429
-0.1429,-1.51359,6.191270367184959,4.337671405785625
-0.1429,-1.43871,6.126413470397502,4.397634531983805
-0.1429,-1.36384,6.06156310660935,4.457591618129481
-0.1429,-1.28896,5.9967020631293355,4.5175585781319505
-0.1429,-1.21408,5.931839112328878,4.577527301538191
-0.1429,-1.13921,5.866983027601492,4.637489676950208
-0.1429,-1.06433,5.802116594737546,4.6974616196811905
-0.1429,-0.98945,5.7372485869039735,4.757435018542624
-0.1429,-0.91457,5.6723791148949445,4.817409771100303
-0.1429,-0.8397,5.607516952897227,4.8773777652228345
-0.1429,-0.76482,5.542644885088151,4.937354917714731
-0.1429,-0.68994,5.4777716854855765,4.997333116600761
-0.1429,-0.61507,5.412906128713867,5.057304249344957
-0.1429,-0.54019,5.348030998049304,5.117284233584889
-0.1429,-0.46531,5.283155067990597,5.1772649569007605
-0.1429,-0.39043,5.218278449345447,5.237246316845855
-0.1429,-0.31556,5.153409917111877,5.297220200538737
-0.1429,-0.24068,5.088532253776419,5.3572025263471375
-0.1429,-0.1658,5.023654234269119,5.417185181452469
-0.1429,-0.09093,4.95878463371089,5.4771600528596815
-0.1429,-0.01605,4.893906234304704,5.537143059198669
-0.1429,0.05883,4.829027811146752,5.597126087497233
-0.1429,0.13371,4.7641494750489946,5.657109035304722
-0.1429,0.20858,4.699280001086378,5.717083789668581
-0.1429,0.28346,4.634402171495477,5.777066269187636
-0.1429,0.35834,4.569524761384198,5.837048360878863
-0.1429,0.43321,4.5046565456356555,5.897021951967064
-0.1429,0.50809,4.439780306820383,5.957002960742305
-0.1429,0.58297,4.374904819897712,6.0169832743589255
-0.1429,0.65785,4.310030195674587,6.076962790370907
-0.1429,0.73272,4.245165208568536,6.136933396433509
-0.1429,0.8076,4.180292642007044,6.1969110100445075
