Front Rideheight,Rear Rideheight,Raw Downforce Mean,Raw Drag Mean
6.433444537,4.080627385,85.00710587,53.00671031
6.439794537,4.086977385,85.31475388,53.15655813
6.446144537,4.093327385,85.83207235,53.41457456
6.452494537,4.099677385,86.76983603,53.6465897
6.465194537,4.112377385,87.59198081,53.86595823
6.150546887,4.343750774,88.97140151,53.03211496
6.156896887,4.350100774,89.78791595,53.21270196
6.163246887,4.356450774,90.22254957,53.36436455
6.169596887,4.362800774,90.95242551,53.68009447
6.175946887,4.369150774,91.01596172,53.86478749
6.188646887,4.381850774,89.6715931,53.93357479
5.86125729,4.600563179,90.61161608,52.55188909
5.86760729,4.606913179,92.54178022,52.94959659
5.87395729,4.613263179,92.99541421,52.9989587
5.88665729,4.625963179,94.54365748,53.58067647
5.89935729,4.638663179,94.13997586,53.76691064
5.905592841,4.645119628,93.67163972,53.92952408
5.578284992,4.863755999,94.48182672,52.56789469
5.584634992,4.870105999,95.34230203,52.7638408
5.597334992,4.882805999,96.53194575,53.30823325
5.603684992,4.889155999,96.60045418,53.58058501
5.622734992,4.908205999,97.19168363,53.82855871
5.288939246,5.120620629,96.56501679,52.2997481
5.295289246,5.126970629,98.7117625,52.69688844
5.307989246,5.139670629,100.1905971,53.23556245
5.314339246,5.146020629,100.886293,53.50412538
5.333389246,5.165070629,99.81628302,53.97592056
5.339739246,5.171420629,99.78928433,53.91677426
5.005929301,5.383848465,99.46777393,52.54548763
5.012279301,5.390198465,101.6578496,52.6140062
5.018629301,5.396548465,103.0119949,52.83496607
5.031329301,5.409248465,103.1638042,53.35022138
5.037679301,5.415598465,100.491213,53.73144453
5.050379301,5.428298465,99.85166761,54.19136529
5.056729301,5.434648465,99.75699135,53.9093032
4.741964409,5.666130901,106.194144,53.29702591
4.748314409,5.672480901,105.1834051,53.40109855
4.754664409,5.678830901,104.316336,53.53161789
4.767364409,5.691530901,102.0708661,54.34278181
4.458953822,5.929359334,110.1556885,52.96446187
4.465303822,5.935709334,109.2579974,53.41345873
4.471653822,5.942059334,108.602881,53.51729086
4.207706791,6.224325159,108.7408632,53.41397001
