Element Count,Downforce,Front Axle Moment,Rear Axle Downforce,Rear Axle Moment,Front Axle Downforce,Frontal Area,Cl,ClA,Drag,Cd,CdA,Center of Pressure,FW 3rd Element AOA,FW 3rd Element X,FW 3rd Element Z,FW 1st Element AOA,FW 1st Element Z,FW 2nd Element AOA,FW 2nd Element X,FW 2nd Element Z,Bullhorn AOA,Bullhorn X,Bullhorn Z Angle,Generation,Aero Efficiency,FA-RA Difference
18884445,103.736816547209,-2777.94991559218,46.2991652598696,3601.45588917707,60.0242648196178,0.519984066471357,4.86924641534342,2.53193055170135,52.2149413467033,2.45088893646642,1.27442319565347,-3.61686103848698,-2.9946,10.8292,-15.4651,-4.5525,-27.3661,6.9884,-9.4671,-14.7326,-5.391,68.5694,5.1531,1,1.98672667002352,13.7250995597482
18226659,95.0257743930994,-3133.76123601306,52.2293539335509,2709.94977173852,45.1658295289753,0.516691079884961,4.48879059767706,2.31931806129122,52.0703922066262,2.45968094916608,1.27089520579709,-7.15224046957387,-19.1553,18.1569,-21.6195,-2.705,-20.4231,7.6235,-2.5661,-19.4719,-0.8038,67.6666,-15.1272,1,1.82494831258457,-7.0635244045756
19331329,111.225653284415,-2894.81886630127,48.2469811050211,3945.12091418102,65.7520152363503,0.511880626907426,5.30340932016424,2.71471248755235,53.7865391328924,2.56462447747862,1.31278158531388,-2.90098026363095,-8.6724,-15.5361,-9.8796,-3.288,-8.6164,-1.9399,5.4028,-0.6361,5.4554,67.7262,-2.0389,1,2.06790871986773,17.5050341313292
18970052,86.3211074401633,-3503.37018593161,58.3895030988602,1805.03807457522,30.0839679095871,0.51537299921234,4.08803145842512,2.10686103360295,52.1643717301598,2.47042234472834,1.27318897312383,-8.831560324311,-13.3451,17.4596,-9.1719,0.2927,-27.8736,-15.9411,4.1041,-3.0964,-0.0211,67.9269,-5.5664,1,1.65479051270266,-28.3055351892731
18133201,83.9801426757197,-3606.8663381517,60.114438969195,1557.58180574353,25.9596967623922,0.510760743412163,4.01308155953706,2.04972452072279,52.1211105652066,2.49066339979317,1.27213308966782,-9.61772495748531,-5.6044,14.2866,-25.1055,-1.0912,-25.2621,-2.1833,10.7873,-3.6003,-13.573,68.212,-2.645,1,1.61125006288298,-34.1547422068028
19417856,85.3649743689444,-3304.68201311549,55.0780335519249,1944.92782781684,32.4154637969474,0.526878037680657,3.95447197254943,2.08352443296,51.5428272099451,2.38768496206375,1.25801876741176,-9.9093153865608,2.5761,-15.9494,-15.0407,-0.3578,-27.0078,6.7015,5.0631,-12.4205,-2.3278,68.1554,-12.9744,1,1.65619503216683,-22.6625697549775
18807519,97.7431470146461,-3101.0630926699,51.6843848778317,2909.75563298362,48.4959272163936,0.520457665216507,4.58373805151387,2.38564160425497,52.6276650953046,2.46801375265244,1.28449667542772,-6.50153185827909,-7.3173,15.2773,3.2579,-3.1151,-24.6222,6.6422,-10.197,-9.9643,-7.8767,67.9338,-6.8623,1,1.85725790489927,-3.18845766143809
18999089,87.4056391636869,-3722.75556691943,62.0459261153239,1652.34712477187,27.5391187461979,0.518001587239218,4.11838769860943,2.13333136474616,52.7285400941489,2.48446865633809,1.28695870742922,-9.63338432114279,-9.7045,17.9916,2.3646,0.3858,-30.8352,-10.9704,-3.1767,-33.966,1.828,67.657,-17.7051,1,1.65765331275284,-34.506807369126
18858424,85.4541114744734,-3442.59340532049,57.3765567553415,1812.49801666821,30.2083002778035,0.517393276292635,4.0311696347501,2.08570006461474,51.972274365553,2.45171414992598,1.26850041656321,-8.71667913832828,1.4381,17.333,3.1606,-1.5409,-26.7948,-18.0204,-6.6035,-3.2212,-1.1307,34.468,-2.5178,1,1.64422497413568,-27.168256477538
20098587,88.3532375500847,-3609.29209119017,60.1548681865028,1824.08417056028,30.4014028426714,0.52719749582612,4.09042108933466,2.15645975517158,53.5523558334863,2.47927174780293,1.30706585691415,-8.88043057017443,1.2592,14.7187,-17.6621,0.3041,-30.0447,10.9507,5.1414,-10.0524,-4.2876,67.7128,5.6417,1,1.64984782041722,-29.7534653438314
