Front Rideheight,Rear Rideheight,Raw Downforce Mean,Raw Drag Mean
3.993,4.547,0.0,0.0
3.993,5.451,0.6614125259089118,0.1262355011960139
4.236,5.242,0.47306873564506047,0.1576025635239446
4.236,5.694,0.7499649879558569,0.1980863835356778
4.479,5.485,0.474056075289899,0.3384032134314196
4.479,5.937,0.6484580695759327,0.3702216003971657
4.479,6.389,0.9585807517786115,0.5354515503001274
4.721,5.727,0.38145622094000287,0.576522092341019
4.721,6.18,0.660516217578846,0.5609513923365057
4.721,6.632,1.0,1.0
4.964,5.97,0.33570948406251777,0.7629643002211459
5.207,6.213,0.3261862080555705,0.9098253373651666
5.45,6.456,0.3897890874460801,0.9522498533194934
