Front Rideheight,Rear Rideheight,Raw Downforce Mean,Raw Drag Mean
3.993,4.547,0.3022012655444532,0.0
3.993,5.451,0.7637340890767383,0.1262355011960139
4.236,5.242,0.632308030588062,0.1576025635239446
4.236,5.694,0.8255258850260194,0.1980863835356778
4.479,5.485,0.6329969949427081,0.3384032134314196
4.479,5.937,0.7546944858420259,0.3702216003971657
4.479,6.389,0.9710977010090148,0.5354515503001274
4.721,5.727,0.5683809337665826,0.576522092341019
4.721,6.18,0.7631086462583365,0.5609513923365057
4.721,6.632,1.0,1.0
4.964,5.97,0.5364589186680027,0.7629643002211459
5.207,6.213,0.529813588722484,0.9098253373651666
5.45,6.456,0.5741955974689104,0.9522498533194934
